Year,Age,Gender,Deaths
2565,98,1,1157
2565,99,0,402
2565,99,1,926
2565,100,0,271
2565,100,1,657
2565,101,0,585
2565,101,1,1433
2566,0,0,1792
2566,0,1,1444
2566,1,0,211
2566,1,1,148
2566,2,0,164
2566,2,1,136
2566,3,0,121
2566,3,1,89
2566,4,0,106
2566,4,1,90
2566,5,0,112
2566,5,1,87
2566,6,0,141
2566,6,1,85
2566,7,0,115
2566,7,1,82
2566,8,0,128
2566,8,1,57
2566,9,0,131
2566,9,1,97
2566,10,0,140
2566,10,1,111
2566,11,0,146
2566,11,1,111
2566,12,0,210
2566,12,1,118
2566,13,0,281
2566,13,1,151
2566,14,0,377
2566,14,1,171
2566,15,0,435
2566,15,1,162
2566,16,0,471
2566,16,1,180
2566,17,0,509
2566,17,1,179
2566,18,0,539
2566,18,1,195
2566,19,0,548
2566,19,1,202
2566,20,0,597
2566,20,1,194
2566,21,0,579
2566,21,1,217
2566,22,0,659
2566,22,1,220
2566,23,0,712
2566,23,1,249
2566,24,0,847
2566,24,1,254
2566,25,0,882
2566,25,1,272
2566,26,0,980
2566,26,1,296
2566,27,0,975
2566,27,1,345
2566,28,0,1053
2566,28,1,351
2566,29,0,1068
2566,29,1,331
2566,30,0,1139
2566,30,1,356
2566,31,0,1255
2566,31,1,406
2566,32,0,1313
2566,32,1,452
2566,33,0,1312
2566,33,1,443
2566,34,0,1361
2566,34,1,446
2566,35,0,1448
2566,35,1,487
2566,36,0,1550
2566,36,1,556
2566,37,0,1655
2566,37,1,597
2566,38,0,1853
2566,38,1,640
2566,39,0,1901
2566,39,1,711
2566,40,0,2271
2566,40,1,829
2566,41,0,2319
2566,41,1,867
2566,42,0,2599
2566,42,1,952
2566,43,0,2869
2566,43,1,1060
2566,44,0,3115
2566,44,1,1176
2566,45,0,3280
2566,45,1,1191
2566,46,0,3578
2566,46,1,1353
2566,47,0,3656
2566,47,1,1437
2566,48,0,3844
2566,48,1,1526
2566,49,0,4076
2566,49,1,1628
2566,50,0,4216
2566,50,1,1776
2566,51,0,4478
2566,51,1,1944
2566,52,0,4531
2566,52,1,2237
2566,53,0,4705
2566,53,1,2094
2566,54,0,5069
2566,54,1,2354
2566,55,0,5325
2566,55,1,2541
2566,56,0,5226
2566,56,1,2594
2566,57,0,5566
2566,57,1,2663
2566,58,0,5870
2566,58,1,2942
2566,59,0,5909
2566,59,1,3112
2566,60,0,6013
2566,60,1,3233
2566,61,0,6240
2566,61,1,3263
2566,62,0,6329
2566,62,1,3476
2566,63,0,6727
2566,63,1,3718
2566,64,0,6645
2566,64,1,3936
2566,65,0,6543
2566,65,1,4003
2566,66,0,6775
2566,66,1,4081
2566,67,0,6693
2566,67,1,4341
2566,68,0,7070
2566,68,1,4784
2566,69,0,6677
2566,69,1,4701
2566,70,0,7140
2566,70,1,5110
2566,71,0,7109
2566,71,1,5363
2566,72,0,7223
2566,72,1,5432
2566,73,0,7327
2566,73,1,5968
2566,74,0,7216
2566,74,1,5645
2566,75,0,6863
2566,75,1,5653
2566,76,0,6640
2566,76,1,5984
2566,77,0,6322
2566,77,1,5855
2566,78,0,6285
2566,78,1,5742
2566,79,0,6353
2566,79,1,6130
2566,80,0,5965
2566,80,1,6221
2566,81,0,6657
2566,81,1,6834
2566,82,0,6185
2566,82,1,6676
2566,83,0,6021
2566,83,1,6915
2566,84,0,6130
2566,84,1,7412
2566,85,0,5894
2566,85,1,7435
2566,86,0,5313
2566,86,1,7123
2566,87,0,5020
2566,87,1,7181
2566,88,0,4362
2566,88,1,6461
2566,89,0,4130
2566,89,1,6367
2566,90,0,3569
2566,90,1,5976
2566,91,0,3134
2566,91,1,5184
2566,92,0,2477
2566,92,1,4553
2566,93,0,2158
2566,93,1,3958
2566,94,0,1660
2566,94,1,3153
2566,95,0,1467
2566,95,1,2846
2566,96,0,959
2566,96,1,2062
2566,97,0,691
2566,97,1,1617
2566,98,0,490
2566,98,1,1117
2566,99,0,334
2566,99,1,815
2566,100,0,208
2566,100,1,606
2566,101,0,472
2566,101,1,1264
2567,0,0,1564
2567,0,1,1241
2567,1,0,230
2567,1,1,161
2567,2,0,144
2567,2,1,94
2567,3,0,116
2567,3,1,96
2567,4,0,112
2567,4,1,73
2567,5,0,112
2567,5,1,66
2567,6,0,110
2567,6,1,68
2567,7,0,135
2567,7,1,69
2567,8,0,111
2567,8,1,83
2567,9,0,109
2567,9,1,87
2567,10,0,117
2567,10,1,74
2567,11,0,142
2567,11,1,108
2567,12,0,181
2567,12,1,127
2567,13,0,259
2567,13,1,141
2567,14,0,398
2567,14,1,151
2567,15,0,471
2567,15,1,175
2567,16,0,426
2567,16,1,162
2567,17,0,488
2567,17,1,191
2567,18,0,564
2567,18,1,166
2567,19,0,561
2567,19,1,196
2567,20,0,577
2567,20,1,221
2567,21,0,564
2567,21,1,204
2567,22,0,598
2567,22,1,214
2567,23,0,639
2567,23,1,246
2567,24,0,771
2567,24,1,226
2567,25,0,790
2567,25,1,228
2567,26,0,862
2567,26,1,271
2567,27,0,998
2567,27,1,330
2567,28,0,1046
2567,28,1,299
2567,29,0,1086
2567,29,1,310
2567,30,0,1100
2567,30,1,357
2567,31,0,1165
2567,31,1,364
2567,32,0,1250
2567,32,1,411
2567,33,0,1385
2567,33,1,482
2567,34,0,1439
2567,34,1,456
2567,35,0,1453
2567,35,1,502
2567,36,0,1458
2567,36,1,531
2567,37,0,1602
2567,37,1,564
2567,38,0,1837
2567,38,1,643
2567,39,0,2009
2567,39,1,739
2567,40,0,2144
2567,40,1,751
2567,41,0,2298
2567,41,1,871
2567,42,0,2619
2567,42,1,966
2567,43,0,2723
2567,43,1,1067
2567,44,0,2964
2567,44,1,1099
2567,45,0,3134
2567,45,1,1228
2567,46,0,3495
2567,46,1,1334
2567,47,0,3708
2567,47,1,1438
2567,48,0,3655
2567,48,1,1439
2567,49,0,4106
2567,49,1,1614
2567,50,0,4277
2567,50,1,1738
2567,51,0,4397
2567,51,1,1766
2567,52,0,4766
2567,52,1,2018
2567,53,0,4905
2567,53,1,2147
2567,54,0,4957
2567,54,1,2296
2567,55,0,5315
2567,55,1,2389
2567,56,0,5529
2567,56,1,2634
2567,57,0,5355
2567,57,1,2574
2567,58,0,5856
2567,58,1,2960
2567,59,0,6251
2567,59,1,3228
2567,60,0,6310
2567,60,1,3244
2567,61,0,6316
2567,61,1,3414
2567,62,0,6682
2567,62,1,3558
2567,63,0,6493
2567,63,1,3815
2567,64,0,7240
2567,64,1,4032
2567,65,0,6727
2567,65,1,4162
2567,66,0,6701
2567,66,1,4117
2567,67,0,6884
2567,67,1,4298
2567,68,0,6967
2567,68,1,4644
2567,69,0,7175
2567,69,1,5035
2567,70,0,7075
2567,70,1,4932
2567,71,0,7233
2567,71,1,5428
2567,72,0,7550
2567,72,1,5523
2567,73,0,7252
2567,73,1,5874
2567,74,0,7715
2567,74,1,6357
2567,75,0,7350
2567,75,1,6227
2567,76,0,7001
2567,76,1,6007
2567,77,0,6977
2567,77,1,6158
2567,78,0,6547
2567,78,1,6066
2567,79,0,6316
2567,79,1,6035
2567,80,0,6516
2567,80,1,6402
2567,81,0,6070
2567,81,1,6435
2567,82,0,6419
2567,82,1,7018
2567,83,0,5966
2567,83,1,6838
2567,84,0,5844
2567,84,1,7179
2567,85,0,5891
2567,85,1,7346
2567,86,0,5468
2567,86,1,7229
2567,87,0,5011
2567,87,1,7042
2567,88,0,4533
2567,88,1,7079
2567,89,0,3900
2567,89,1,6235
2567,90,0,3710
2567,90,1,5805
2567,91,0,3021
2567,91,1,5292
2567,92,0,2674
2567,92,1,4762
2567,93,0,2130
2567,93,1,3900
2567,94,0,1711
2567,94,1,3471
2567,95,0,1330
2567,95,1,2739
2567,96,0,1131
2567,96,1,2315
2567,97,0,703
2567,97,1,1584
2567,98,0,471
2567,98,1,1200
2567,99,0,327
2567,99,1,828
2567,100,0,230
2567,100,1,558
2567,101,0,491
2567,101,1,1288
2568,0,0,1327
2568,0,1,1019
2568,1,0,170
2568,1,1,143
2568,2,0,156
2568,2,1,95
2568,3,0,106
